sex,age,Pstatus,Fedu,Medu,guardian,studytime,traveltime,failures,famrel,freetime,absences
F,17.0,T,1,1,mother,3,1.0,1,4,3.0,0
F,16.0,T,3,2,mother,2,1.0,0,2,3.0,2
M,18.0,T,2,2,mother,2,2.0,0,3,3.0,0
F,16.0,T,4,4,mother,3,1.0,0,5,3.0,0
F,18.0,T,1,3,mother,2,1.0,1,5,3.0,16
F,17.0,T,2,3,mother,2,1.0,0,5,3.0,10
M,17.0,T,3,2,father,2,1.0,0,5,3.0,2
M,18.0,T,1,2,mother,2,4.0,0,4,3.0,14
F,17.0,A,1,2,mother,3,2.0,0,3,2.0,10
F,17.0,T,3,4,father,2,1.0,0,3,2.0,14
M,17.0,T,2,2,father,2,2.0,0,4,5.0,4
M,17.0,T,4,4,mother,2,1.0,0,4,5.0,14
M,16.0,T,4,4,father,2,1.0,0,4,2.0,2
M,16.0,T,1,1,mother,2,2.0,0,3,4.0,18
M,16.0,T,2,3,mother,3,2.0,0,5,3.0,10
M,17.0,T,2,2,father,2,1.0,0,4,4.0,4
F,16.0,T,1,2,mother,1,1.0,0,4,5.0,20
F,17.0,T,1,2,mother,2,3.0,0,2,1.0,2
M,18.0,T,2,2,father,2,1.0,1,5,5.0,0
M,17.0,T,3,4,mother,2,2.0,0,2,5.0,14
M,17.0,A,4,4,mother,2,2.0,0,3,3.0,2
M,16.0,T,3,4,mother,1,1.0,0,5,4.0,0
M,16.0,T,4,4,mother,1,1.0,0,5,3.0,0
F,18.0,T,1,2,other,3,2.0,0,4,4.0,0
M,16.0,T,1,2,mother,1,3.0,0,4,3.0,6
M,17.0,T,3,2,father,1,2.0,0,5,2.0,4
M,22.0,T,1,3,mother,1,1.0,3,5,4.0,16
M,18.0,T,3,3,mother,2,1.0,1,4,3.0,8
M,16.0,T,2,0,mother,1,1.0,0,4,3.0,0
M,18.0,T,2,3,mother,1,2.0,1,4,4.0,0
M,16.0,T,3,3,other,2,3.0,0,5,3.0,6
M,18.0,T,1,2,mother,1,1.0,1,3,2.0,4
M,16.0,T,1,2,mother,1,2.0,0,3,3.0,0
M,17.0,T,1,2,mother,1,1.0,0,4,4.0,0
M,17.0,T,1,1,mother,1,2.0,1,4,4.0,2
F,17.0,T,2,4,mother,4,1.0,0,4,2.0,6
M,19.0,A,3,4,mother,2,1.0,0,4,3.0,12
M,18.0,T,1,2,mother,2,1.0,0,5,2.0,8
F,17.0,T,2,2,father,4,1.0,0,3,4.0,0
F,18.0,T,3,4,father,2,1.0,0,3,1.0,21
M,18.0,T,3,4,mother,2,1.0,0,4,3.0,2
M,18.0,T,2,3,mother,3,1.0,0,5,3.0,1
F,17.0,T,3,3,mother,3,1.0,0,3,2.0,4
F,18.0,T,2,2,mother,3,1.0,0,4,3.0,0
M,18.0,A,4,3,mother,2,2.0,0,4,2.0,13
M,17.0,T,1,3,mother,2,1.0,0,5,4.0,2
F,18.0,T,4,4,mother,2,2.0,0,4,3.0,8
M,18.0,T,2,4,father,2,1.0,0,5,4.0,10
F,18.0,T,1,2,mother,2,2.0,0,4,3.0,0
F,19.0,T,3,3,other,2,1.0,2,4,3.0,15
F,18.0,T,3,2,father,4,1.0,0,4,5.0,4
F,18.0,T,1,1,mother,2,2.0,0,4,4.0,2
M,17.0,T,2,1,mother,2,1.0,0,3,5.0,2
F,17.0,T,4,2,mother,2,2.0,0,4,3.0,2
F,17.0,T,2,2,mother,2,2.0,0,4,4.0,6
F,18.0,A,2,3,mother,2,2.0,0,4,1.0,75
M,18.0,T,4,4,mother,1,2.0,0,3,2.0,22
F,18.0,T,4,4,father,2,1.0,1,2,4.0,15
M,18.0,T,3,4,mother,1,2.0,0,4,2.0,8
M,17.0,A,1,4,mother,1,2.0,0,4,5.0,30
M,17.0,A,2,3,mother,1,1.0,1,4,4.0,19
F,18.0,T,1,1,mother,4,2.0,0,5,2.0,1
F,18.0,T,1,1,mother,2,2.0,0,5,4.0,4
F,17.0,T,2,2,mother,2,,0,5,4.0,4
M,17.0,T,1,1,father,2,1.0,0,4,3.0,2
F,18.0,T,2,2,mother,3,1.0,0,4,3.0,5
F,17.0,T,1,1,mother,3,1.0,0,4,3.0,6
M,18.0,T,1,2,mother,3,1.0,0,4,2.0,6
M,18.0,A,4,4,mother,2,1.0,0,5,4.0,9
M,18.0,T,2,4,mother,2,1.0,0,4,3.0,11
F,17.0,T,3,4,mother,3,1.0,0,4,2.0,0
F,18.0,T,1,2,mother,2,1.0,1,5,4.0,12
F,17.0,T,1,3,mother,4,2.0,0,3,1.0,6
M,18.0,T,2,3,mother,3,2.0,0,5,4.0,8
M,17.0,T,3,3,mother,1,1.0,0,4,4.0,4
F,19.0,T,4,4,other,2,2.0,0,2,3.0,0
F,18.0,T,3,4,other,2,2.0,0,4,4.0,10
F,18.0,T,3,4,father,4,1.0,0,4,3.0,0
M,18.0,T,4,4,mother,1,1.0,0,1,4.0,5
F,18.0,A,4,4,mother,2,1.0,0,4,2.0,14
M,17.0,T,4,4,father,1,2.0,0,4,1.0,0
F,17.0,T,2,4,mother,3,2.0,0,4,3.0,0
F,17.0,T,2,3,father,4,1.0,0,5,2.0,0
M,19.0,T,3,3,other,2,1.0,1,4,4.0,20
F,18.0,T,4,2,other,2,1.0,1,4,4.0,8
M,20.0,A,2,3,other,1,1.0,0,5,5.0,0
M,19.0,T,4,4,other,1,2.0,1,4,3.0,38
M,19.0,T,3,3,father,2,1.0,1,4,5.0,0
F,19.0,T,1,1,other,2,1.0,1,4,4.0,18
F,19.0,T,2,1,other,2,1.0,1,4,2.0,0
F,19.0,T,1,2,other,2,3.0,0,3,4.0,20
M,19.0,T,2,1,other,2,1.0,1,4,5.0,3
F,19.0,T,2,3,other,2,2.0,1,4,2.0,22
F,19.0,T,1,1,other,3,1.0,2,4,1.0,14
F,19.0,T,3,2,other,3,1.0,1,4,1.0,40
F,18.0,T,1,2,mother,2,2.0,0,5,,0
F,18.0,T,3,4,mother,3,1.0,0,4,3.0,9
F,17.0,T,4,3,father,3,1.0,0,4,3.0,0
F,18.0,T,4,4,mother,2,1.0,0,4,4.0,2
F,17.0,A,3,4,mother,2,1.0,0,5,2.0,23
F,,T,2,2,mother,2,1.0,0,4,2.0,12
F,17.0,T,2,2,mother,3,1.0,0,3,3.0,3
F,17.0,T,1,3,father,3,1.0,0,3,4.0,1
F,17.0,T,2,0,father,3,2.0,0,3,3.0,0
M,18.0,T,4,4,mother,3,1.0,0,4,3.0,3
M,17.0,T,3,3,mother,1,1.0,0,4,3.0,3
M,17.0,T,2,2,mother,1,4.0,0,4,4.0,8
F,17.0,T,4,4,mother,3,1.0,0,5,4.0,7
F,17.0,T,4,4,mother,3,2.0,0,4,3.0,4
M,18.0,T,2,2,mother,4,1.0,0,4,5.0,2
F,17.0,T,4,2,father,3,1.0,0,4,4.0,7
F,18.0,T,3,3,mother,2,1.0,0,5,3.0,0
F,18.0,T,2,2,other,2,1.0,0,4,3.0,0
F,18.0,T,2,2,mother,4,2.0,0,4,4.0,0
F,17.0,T,4,3,mother,3,1.0,0,4,4.0,16
F,19.0,A,1,3,other,3,1.0,1,5,4.0,12
F,17.0,T,2,3,mother,2,1.0,0,4,3.0,0
F,18.0,T,3,3,mother,4,1.0,0,5,3.0,7
F,17.0,A,2,3,mother,2,1.0,0,4,3.0,4
F,19.0,T,1,2,other,3,1.0,1,4,3.0,4
M,18.0,T,4,4,father,2,1.0,1,4,3.0,0
M,18.0,T,4,3,mother,2,1.0,0,4,3.0,11
F,17.0,A,2,2,father,2,1.0,1,3,3.0,0
F,18.0,T,3,2,mother,3,1.0,0,4,3.0,4
F,18.0,T,2,3,mother,3,1.0,0,5,4.0,7
M,18.0,T,3,4,mother,3,1.0,0,5,3.0,9
M,18.0,T,3,4,mother,3,1.0,0,5,4.0,0
F,17.0,T,3,4,mother,3,1.0,0,4,4.0,0
M,18.0,T,2,3,mother,1,2.0,1,2,5.0,10
M,19.0,T,1,1,other,2,3.0,3,5,4.0,8
M,17.0,T,3,3,mother,2,2.0,0,4,5.0,2
M,18.0,T,3,1,mother,1,1.0,1,4,3.0,7
M,19.0,T,1,1,other,1,3.0,1,4,4.0,4
M,17.0,T,3,4,mother,2,2.0,0,4,5.0,4
F,18.0,T,3,3,father,2,1.0,0,5,3.0,0
F,17.0,T,4,4,father,2,2.0,0,4,3.0,4
F,17.0,A,2,3,mother,2,2.0,0,1,2.0,2
M,18.0,T,1,1,father,1,2.0,0,3,3.0,4
F,18.0,T,1,1,father,3,2.0,0,5,3.0,0
F,18.0,A,4,1,mother,2,,0,4,3.0,0
M,18.0,T,1,1,mother,2,2.0,1,4,4.0,2
F,18.0,T,3,3,mother,2,2.0,0,4,3.0,0
F,17.0,T,4,4,mother,2,1.0,0,2,3.0,0
F,17.0,T,2,1,father,2,2.0,0,3,2.0,0
M,18.0,T,3,1,mother,2,2.0,0,3,3.0,4
M,18.0,T,4,4,mother,3,2.0,0,4,2.0,0
F,17.0,T,1,1,mother,1,3.0,1,5,2.0,0
F,18.0,T,3,2,father,1,2.0,0,5,2.0,0
F,18.0,T,4,4,father,2,3.0,0,3,2.0,10
F,19.0,T,2,3,other,2,2.0,2,3,2.0,4
M,18.0,T,2,1,father,1,3.0,0,4,3.0,3
F,17.0,T,2,2,mother,3,1.0,0,3,4.0,8
F,17.0,T,2,1,mother,1,1.0,0,3,5.0,14
F,18.0,T,4,4,mother,3,2.0,0,5,4.0,0
F,18.0,T,1,1,mother,3,4.0,0,4,3.0,2
F,20.0,T,2,4,other,3,2.0,2,5,4.0,4
F,18.0,T,4,4,mother,2,1.0,0,5,4.0,4
F,18.0,T,3,3,mother,2,1.0,0,4,1.0,0
F,17.0,T,1,3,mother,2,1.0,0,4,5.0,17
M,18.0,T,4,4,father,2,1.0,0,3,2.0,4
M,18.0,T,1,2,mother,1,2.0,0,4,4.0,5
M,17.0,T,3,2,father,2,2.0,0,4,4.0,2
M,19.0,T,1,1,mother,1,2.0,1,4,3.0,0
M,18.0,T,2,4,father,1,2.0,1,5,4.0,14
F,18.0,T,2,2,mother,3,2.0,0,5,3.0,2
F,18.0,T,4,4,mother,1,3.0,0,4,4.0,7
F,19.0,T,3,2,mother,3,1.0,1,5,4.0,0
F,18.0,T,1,3,mother,2,1.0,0,4,3.0,0
F,18.0,T,1,1,mother,2,2.0,1,1,1.0,0
M,20.0,A,2,2,other,2,1.0,2,5,5.0,11
M,17.0,T,1,3,mother,1,2.0,0,2,4.0,3
M,21.0,T,1,1,other,1,1.0,3,5,5.0,3
M,18.0,T,2,3,mother,1,3.0,0,4,4.0,0
M,19.0,T,1,1,father,1,1.0,0,3,2.0,5
