InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
571328,23311,VINTAGE CHRISTMAS STOCKING ,6.0,10/17/2011 11:27,2.55,12473.0,Germany
541206,22898,CHILDRENS APRON APPLES DESIGN,100.0,1/14/2011 12:24,1.65,14646.0,Netherlands
565295,22567,20 DOLLY PEGS RETROSPOT,12.0,9/2/2011 12:01,1.45,12794.0,Portugal
575661,22080,RIBBON REEL POLKADOTS ,10.0,11/10/2011 14:39,1.65,12617.0,France
554938,23204,CHARLOTTE BAG APPLES DESIGN,20.0,5/27/2011 13:34,0.85,12876.0,Belgium
556578,23275,SET OF 3 HANGING OWLS OLLIE BEAK,12.0,6/13/2011 14:13,1.25,12472.0,Germany
575886,23284,DOORMAT KEEP CALM AND COME IN,2.0,11/11/2011 13:57,8.25,12517.0,Germany
573581,23198,PANTRY MAGNETIC  SHOPPING LIST,12.0,10/31/2011 14:22,1.45,14911.0,EIRE
546373,21086,SET/6 RED SPOTTY PAPER CUPS,24.0,3/11/2011 12:00,0.65,12583.0,France
567293,20749,ASSORTED COLOUR MINI CASES,2.0,9/19/2011 12:01,7.95,12640.0,France
569893,20712,JUMBO BAG WOODLAND ANIMALS,20.0,10/6/2011 15:51,2.08,12627.0,Germany
557789,20674,GREEN POLKADOT BOWL,8.0,6/22/2011 16:32,1.25,12379.0,Belgium
542106,21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",24.0,1/25/2011 13:37,4.25,12709.0,Germany
545084,22662,LUNCH BAG DOLLY GIRL DESIGN,10.0,2/28/2011 10:55,1.65,12458.0,Switzerland
541711,22629,SPACEBOY LUNCH BOX ,64.0,1/21/2011 11:18,1.65,14646.0,Netherlands
554139,84247G,"DECOUPAGE,GREETING CARD,",12.0,5/23/2011 10:34,0.42,14911.0,EIRE
568095,20769,DAISY JOURNAL ,6.0,9/23/2011 14:49,2.55,14911.0,EIRE
558067,23300,GARDENERS KNEELING PAD CUP OF TEA ,12.0,6/24/2011 15:51,1.65,14156.0,EIRE
549953,22623,BOX OF VINTAGE JIGSAW BLOCKS ,3.0,4/13/2011 13:15,5.95,12766.0,Portugal
564749,22727,ALARM CLOCK BAKELIKE RED ,4.0,8/30/2011 8:15,3.75,12708.0,Germany
570672,22659,LUNCH BOX I LOVE LONDON,12.0,10/11/2011 14:52,1.95,12536.0,France
574862,22898,CHILDRENS APRON APPLES DESIGN,8.0,11/7/2011 12:27,1.95,12408.0,Belgium
570030,21094,SET/6 RED SPOTTY PAPER PLATES,12.0,10/7/2011 10:44,0.85,12740.0,France
551950,C2,CARRIAGE,1.0,5/5/2011 11:38,50.0,14911.0,EIRE
571937,21208,PASTEL COLOUR HONEYCOMB FAN,36.0,10/20/2011 9:28,0.39,14911.0,EIRE
554770,20724,RED RETROSPOT CHARLOTTE BAG,10.0,5/26/2011 11:40,0.85,14911.0,EIRE
560876,POST,POSTAGE,6.0,7/21/2011 15:14,18.0,12626.0,Germany
558608,21949,SET OF 6 STRAWBERRY CHOPSTICKS,36.0,6/30/2011 15:30,1.25,12524.0,Germany
575514,23353,6 GIFT TAGS VINTAGE CHRISTMAS ,12.0,11/10/2011 10:40,0.83,12541.0,Spain
550618,22286,DECORATION WOBBLY RABBIT METAL ,12.0,4/19/2011 13:09,1.65,14156.0,EIRE
537201,21817,GLITTER CHRISTMAS TREE,12.0,12/5/2010 14:19,0.85,12472.0,Germany
563950,21700,BIG DOUGHNUT FRIDGE MAGNETS,24.0,8/22/2011 10:39,0.85,12471.0,Germany
537065,84870B,BLUE GEISHA GIRL ,4.0,12/5/2010 11:57,3.75,12567.0,France
C572120,22412,METAL SIGN NEIGHBOURHOOD WITCH ,-2.0,10/20/2011 19:29,2.1,14911.0,EIRE
570964,23157,SET OF 6 NATIVITY MAGNETS ,12.0,10/13/2011 11:50,2.08,12766.0,Portugal
543121,POST,POSTAGE,2.0,2/3/2011 13:58,18.0,12662.0,Germany
552874,79191C,RETRO PLASTIC ELEPHANT TRAY,12.0,5/12/2011 9:40,0.85,12621.0,Germany
573362,23388,WOODLAND MINI BACKPACK,4.0,10/30/2011 13:06,4.15,12597.0,Spain
567793,21174,POTTERING IN THE SHED METAL SIGN,12.0,9/22/2011 11:40,2.08,12657.0,France
575884,23221,REINDEER HEART DECORATION SILVER,12.0,11/11/2011 13:46,0.83,12685.0,France
575508,23204,CHARLOTTE BAG APPLES DESIGN,200.0,11/10/2011 10:32,0.72,14646.0,Netherlands
545191,21936,RED RETROSPOT PICNIC BAG,5.0,2/28/2011 15:39,2.95,12811.0,Portugal
554104,22098,BOUDOIR SQUARE TISSUE BOX,12.0,5/22/2011 14:03,1.25,12705.0,Germany
543387,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,48.0,2/8/2011 9:41,2.55,14646.0,Netherlands
570672,21872,GLAMOROUS  MUG,48.0,10/11/2011 14:52,1.06,12536.0,France
544811,20719,WOODLAND CHARLOTTE BAG,10.0,2/23/2011 15:53,0.85,12471.0,Germany
539607,22556,PLASTERS IN TIN CIRCUS PARADE ,24.0,12/20/2010 14:10,1.65,12681.0,France
580160,22635,CHILDS BREAKFAST SET DOLLY GIRL ,2.0,12/2/2011 10:47,9.95,12700.0,France
557328,23288,GREEN VINTAGE SPOT BEAKER,1.0,6/20/2011 9:53,0.85,14646.0,Netherlands
576890,22939,ADULT APRON APPLE DELIGHT,4.0,11/16/2011 17:25,4.95,12662.0,Germany
576657,22130,PARTY CONE CHRISTMAS DECORATION ,12.0,11/16/2011 11:03,0.85,12720.0,Germany
541711,22024,RAINY LADIES BIRTHDAY CARD,72.0,1/21/2011 11:18,0.36,14646.0,Netherlands
580126,22301,COFFEE MUG CAT + BIRD DESIGN,6.0,12/1/2011 17:20,2.55,12562.0,France
543484,20676,RED RETROSPOT BOWL,8.0,2/9/2011 10:11,1.25,12721.0,France
565931,22630,DOLLY GIRL LUNCH BOX,12.0,9/8/2011 10:35,1.95,12683.0,France
546755,POST,POSTAGE,5.0,3/16/2011 13:29,28.0,12502.0,Spain
558067,23206,LUNCH BAG APPLE DESIGN,20.0,6/24/2011 15:51,1.65,14156.0,EIRE
561911,23108,SET OF 10 LED DOLLY LIGHTS,2.0,8/1/2011 10:26,6.25,12534.0,Germany
570964,23438, RED SPOT GIFT BAG LARGE,24.0,10/13/2011 11:50,1.25,12766.0,Portugal
562670,22193,RED DINER WALL CLOCK,2.0,8/8/2011 13:42,8.5,14911.0,EIRE
574068,23084,RABBIT NIGHT LIGHT,96.0,11/2/2011 14:51,1.79,12490.0,France
C563224,23298,SPOTTY BUNTING,-1.0,8/14/2011 14:33,4.95,12409.0,Switzerland
551820,22382,LUNCH BAG SPACEBOY DESIGN ,10.0,5/4/2011 12:11,1.65,12645.0,Germany
541711,21123,SET/10 IVORY POLKADOT PARTY CANDLES,24.0,1/21/2011 11:18,1.25,14646.0,Netherlands
555282,22197,SMALL POPCORN HOLDER,12.0,6/2/2011 9:04,0.85,12709.0,Germany
568176,22728,ALARM CLOCK BAKELIKE PINK,4.0,9/25/2011 13:25,3.75,12685.0,France
570841,22090,PAPER BUNTING RETROSPOT,6.0,10/12/2011 14:18,2.95,12553.0,France
572925,22153,ANGEL DECORATION STARS ON DRESS,48.0,10/27/2011 9:18,0.42,12523.0,France
549667,22405,MONEY BOX POCKET MONEY DESIGN,12.0,4/11/2011 12:20,1.25,14911.0,EIRE
541269,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,12.0,1/17/2011 11:01,0.85,12626.0,Germany
576322,22558,CLOTHES PEGS RETROSPOT PACK 24 ,12.0,11/14/2011 15:03,1.65,12642.0,Germany
557263,21668,RED STRIPE CERAMIC DRAWER KNOB,96.0,6/19/2011 11:08,1.06,14646.0,Netherlands
564972,23374,RED SPOT PAPER GIFT BAG,10.0,8/31/2011 15:30,0.82,12621.0,Germany
542215,22423,REGENCY CAKESTAND 3 TIER,6.0,1/26/2011 12:27,12.75,12472.0,Germany
569332,21217,RED RETROSPOT ROUND CAKE TINS,2.0,10/3/2011 13:46,9.95,12637.0,France
572896,22924,FRIDGE MAGNETS LA VIE EN ROSE,12.0,10/26/2011 14:41,0.85,12456.0,Switzerland
560036,23205,CHARLOTTE BAG VINTAGE ALPHABET ,10.0,7/14/2011 13:51,0.85,14911.0,EIRE
547194,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,3.0,3/21/2011 12:42,2.95,12637.0,France
572233,21429,RED GINGHAM ROSE JEWELLERY BOX,48.0,10/21/2011 14:41,1.65,14646.0,Netherlands
576664,23493,VINTAGE DOILY TRAVEL SEWING KIT,50.0,11/16/2011 11:41,1.95,14646.0,Netherlands
569866,20973,12 PENCIL SMALL TUBE WOODLAND,3.0,10/6/2011 14:50,0.65,12757.0,Portugal
568650,85049A,TRADITIONAL CHRISTMAS RIBBONS,12.0,9/28/2011 11:56,1.25,13505.0,Switzerland
552874,16236,KITTY PENCIL ERASERS,28.0,5/12/2011 9:40,0.21,12621.0,Germany
561037,23285,PINK VINTAGE SPOT BEAKER,8.0,7/24/2011 11:55,0.85,12472.0,Germany
553206,48173C,DOORMAT BLACK FLOCK ,10.0,5/16/2011 8:16,6.75,14156.0,EIRE
546580,84692,BOX OF 24 COCKTAIL PARASOLS,25.0,3/15/2011 11:09,0.42,14911.0,EIRE
563241,21498,RED RETROSPOT WRAP ,25.0,8/15/2011 10:22,0.42,12758.0,Portugal
562560,84569A,PACK 3 IRON ON DOG PATCHES,12.0,8/5/2011 17:12,1.25,14156.0,EIRE
572065,22273,FELTCRAFT DOLL MOLLY,1.0,10/20/2011 13:06,2.95,12556.0,Spain
564734,85049G,CHOCOLATE BOX RIBBONS ,5.0,8/28/2011 13:32,1.25,12484.0,Spain
555719,23054,RECYCLED ACAPULCO MAT LAVENDER,2.0,6/6/2011 15:31,8.25,12609.0,Germany
560694,20713,JUMBO BAG OWLS,10.0,7/20/2011 12:05,2.08,12757.0,Portugal
555531,22560,TRADITIONAL MODELLING CLAY,48.0,6/5/2011 11:53,1.06,12678.0,France
542777,22413,METAL SIGN TAKE IT OR LEAVE IT ,6.0,2/1/2011 8:31,2.95,14911.0,EIRE
574336,21733,RED HANGING HEART T-LIGHT HOLDER,6.0,11/4/2011 9:52,2.95,12397.0,Belgium
577061,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12.0,11/17/2011 14:40,2.95,14911.0,EIRE
547822,21731,RED TOADSTOOL LED NIGHT LIGHT,12.0,3/25/2011 14:53,1.65,12668.0,Germany
540469,22862,LOVE HEART NAPKIN BOX ,4.0,1/7/2011 14:04,4.25,12484.0,Spain
550527,21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,2.0,4/19/2011 10:48,12.75,12476.0,Germany
549953,22305,COFFEE MUG PINK PAISLEY DESIGN,12.0,4/13/2011 13:15,2.55,12766.0,Portugal
540550,47594B,SCOTTIES DESIGN WASHBAG,6.0,1/10/2011 9:11,1.95,12539.0,Spain
559036,23052,RECYCLED ACAPULCO MAT TURQUOISE,2.0,7/5/2011 15:14,8.25,12637.0,France
550527,23193,BUFFALO BILL TREASURE BOOK BOX,8.0,4/19/2011 10:48,2.25,12476.0,Germany
566625,21933,PINK VINTAGE PAISLEY PICNIC BAG,10.0,9/14/2011 9:38,1.65,14911.0,EIRE
553375,21669,BLUE STRIPE CERAMIC DRAWER KNOB,24.0,5/16/2011 14:53,1.25,14911.0,EIRE
580153,21731,RED TOADSTOOL LED NIGHT LIGHT,24.0,12/2/2011 10:23,1.65,12762.0,Portugal
549249,22329,ROUND CONTAINER SET OF 5 RETROSPOT,12.0,4/7/2011 12:04,1.65,12423.0,Belgium
578339,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,18.0,11/24/2011 9:07,0.79,12421.0,Spain
560445,21915,RED  HARMONICA IN BOX ,96.0,7/19/2011 9:08,1.25,14156.0,EIRE
544355,20681,PINK POLKADOT CHILDRENS UMBRELLA,6.0,2/18/2011 10:53,3.25,12714.0,France
547379,22858,EASTER TIN KEEPSAKE,12.0,3/22/2011 15:13,1.65,12720.0,Germany
571658,20971,PINK BLUE FELT CRAFT TRINKET BOX,12.0,10/18/2011 12:48,1.25,12621.0,Germany
544355,22348,TEA BAG PLATE RED RETROSPOT,12.0,2/18/2011 10:53,0.85,12714.0,France
542713,37448,CERAMIC CAKE DESIGN SPOTTED MUG,12.0,1/31/2011 13:27,1.49,12668.0,Germany
564856,22897,OVEN MITT APPLES DESIGN,10.0,8/31/2011 9:11,1.45,12477.0,Germany
545657,22989,SET 2 PANTRY DESIGN TEA TOWELS,6.0,3/4/2011 14:02,3.25,14911.0,EIRE
552845,21578,WOODLAND DESIGN  COTTON TOTE BAG,12.0,5/11/2011 14:37,2.25,14646.0,Netherlands
544495,21980,PACK OF 12 RED RETROSPOT TISSUES ,24.0,2/21/2011 11:42,0.29,12766.0,Portugal
570672,22207,FRYING PAN UNION FLAG,4.0,10/11/2011 14:52,4.25,12536.0,France
544390,82484,WOOD BLACK BOARD ANT WHITE FINISH,2.0,2/18/2011 11:36,7.95,14911.0,EIRE
575671,22556,PLASTERS IN TIN CIRCUS PARADE ,12.0,11/10/2011 15:03,1.65,12670.0,France
565214,23170,REGENCY TEA PLATE ROSES ,36.0,9/1/2011 17:20,1.65,14911.0,EIRE
548664,21932,SCANDINAVIAN PAISLEY PICNIC BAG,5.0,4/1/2011 14:45,2.95,14911.0,EIRE
581175,23192,BUNDLE OF 3 ALPHABET EXERCISE BOOKS,96.0,12/7/2011 15:16,1.45,14646.0,Netherlands
563502,23269,SET OF 2 CERAMIC CHRISTMAS TREES,12.0,8/17/2011 8:50,1.45,12722.0,France
566816,22382,LUNCH BAG SPACEBOY DESIGN ,20.0,9/15/2011 10:53,1.65,12731.0,France
541269,22329,ROUND CONTAINER SET OF 5 RETROSPOT,12.0,1/17/2011 11:01,1.65,12626.0,Germany
565857,22775,PURPLE DRAWERKNOB ACRYLIC EDWARDIAN,12.0,9/7/2011 14:13,1.25,14911.0,EIRE
566076,22725,ALARM CLOCK BAKELIKE CHOCOLATE,4.0,9/9/2011 9:13,3.75,12449.0,Belgium
564972,23189,SET OF 12 FORK CANDLES,6.0,8/31/2011 15:30,2.89,12621.0,Germany
556517,22895,SET OF 2 TEA TOWELS APPLE AND PEARS,12.0,6/13/2011 10:52,3.25,12481.0,Germany
581578,22993,SET OF 4 PANTRY JELLY MOULDS,12.0,12/9/2011 12:16,1.25,12713.0,Germany
570674,22228,BUNNY WOODEN PAINTED WITH BIRD ,12.0,10/11/2011 14:59,0.39,14911.0,EIRE
549249,21990,MODERN FLORAL STATIONERY SET,6.0,4/7/2011 12:04,2.95,12423.0,Belgium
567428,84946,ANTIQUE SILVER T-LIGHT GLASS,12.0,9/20/2011 11:35,1.25,14911.0,EIRE
567280,22386,JUMBO BAG PINK POLKADOT,100.0,9/19/2011 11:46,1.79,14646.0,Netherlands
568048,85059,FRENCH ENAMEL WATER BASIN,4.0,9/23/2011 12:36,3.75,14911.0,EIRE
571425,22625,RED KITCHEN SCALES,2.0,10/17/2011 12:41,8.5,14911.0,EIRE
573867,84997D,CHILDRENS CUTLERY POLKADOT PINK,8.0,11/1/2011 12:12,4.15,12674.0,France
557525,22692,DOORMAT WELCOME TO OUR HOME,2.0,6/21/2011 9:26,7.95,12759.0,Netherlands
549682,85116,BLACK CANDELABRA T-LIGHT HOLDER,6.0,4/11/2011 13:22,2.1,12596.0,Spain
576141,22589,CARDHOLDER GINGHAM STAR,6.0,11/14/2011 10:47,2.89,14911.0,EIRE
558124,23084,RABBIT NIGHT LIGHT,12.0,6/27/2011 10:17,2.08,12493.0,France
559441,22556,PLASTERS IN TIN CIRCUS PARADE ,24.0,7/8/2011 12:22,1.65,12583.0,France
576399,22530,MAGIC DRAWING SLATE DOLLY GIRL ,24.0,11/15/2011 10:50,0.42,12684.0,France
579790,POST,POSTAGE,2.0,11/30/2011 15:38,28.0,12784.0,Portugal
541965,22418,10 COLOUR SPACEBOY PEN,24.0,1/24/2011 13:27,0.85,12625.0,Germany
555947,20840,FRENCH FLORAL CUSHION COVER ,12.0,6/8/2011 10:45,0.85,14911.0,EIRE
C575150,23347,I LOVE LONDON BEAKER,-12.0,11/8/2011 16:05,1.25,12471.0,Germany
580127,23225,CHERUB HEART DECORATION SILVER ,12.0,12/1/2011 17:51,0.83,14911.0,EIRE
568040,21967,PACK OF 12 SKULL TISSUES,24.0,9/23/2011 12:09,0.39,12681.0,France
577039,22312,OFFICE MUG WARMER POLKADOT,6.0,11/17/2011 13:30,2.95,12539.0,Spain
577476,47566,PARTY BUNTING,8.0,11/20/2011 11:31,4.95,12540.0,Spain
579792,22574,HEART WOODEN CHRISTMAS DECORATION,12.0,11/30/2011 15:43,0.85,12714.0,France
572035,21481,FAWN BLUE HOT WATER BOTTLE,72.0,10/20/2011 12:03,3.39,14646.0,Netherlands
